//Title; Authors;Year;File
Singular Solutions in Plasticity;Sergei Alexandrov;2006;978-981-10-5227-9.pdf
Data Engineering and Intelligent Computing;Suresh Chandra SatapathyVikrant BhatejaK. Srujan RajuB. Janakiramaiah;2007;978-981-10-3223-3.pdf
Advances in Hybridization of Intelligent Methods;Prof. Ioannis HatzilygeroudisVasile Palade;2000;978-3-319-66790-4.pdf
Application of Wavelets in Speech Processing;Prof. Dr. Mohamed Hesham Farouk;2005;978-3-319-69002-5.pdf
Proceedings of the Fourth Euro-China Conference on Intelligent Data Analysis and Applications;Dr. Pavel KræžšmerEnrique AlbaProf. Jeng-Shyang PanProf. Dr. Vè°©clav Snè°©æ‹§el;2004;978-3-319-68527-4.pdf
Foundations of Circulation Control Based Small-Scale Unmanned Aircraft;Konstantinos KanistrasDr. Kimon P. ValavanisProf. Matthew J. Rutherford;2000;978-3-319-67852-8.pdf
Virtualized Wireless Networks;Dr. Tho Le-NgocRajesh DawadiDr. Saeedeh ParsaeefardMahsa Derakhshani;2008;978-3-319-57388-5.pdf
Packet-Based Control for Networked Control Systems;Yun-Bo ZhaoGuo-Ping LiuYu KangLi Yu;2009;978-981-10-6250-6.pdf
Advances in Human Error, Reliability, Resilience, and Performance;Ronald Laurids Boring;2004;978-3-319-60645-3.pdf
Historic Indoor Microclimate of the Heritage Buildings;Prof. Marco PretelliProf. Kristian Fabbri;2007;978-3-319-60343-8.pdf
Advances in Bionanomaterials;Prof. Stefano PiottoFederico RossiProf. Simona ConcilioProf. Ernesto ReverchonProf. Giuseppe Cattaneo;2007;978-3-319-62027-5.pdf
Recent Developments in Mechatronics and Intelligent Robotics;Feng QiaoProf. Srikanta PatnaikJohn Wang;2000;978-3-319-65978-7.pdf
Computational Statics Revision Course;Zia JavanbakhtProf. Dr. Andreas è„°chsner;2007;978-3-319-67462-9.pdf
EM Material Characterization Techniques for Metamaterials;Dr. Raveendranath U. NairMaumita DuttaMohammed Yazeen P.S.K. S. Venu;2000;978-981-10-6517-0.pdf
Soft Computing: Theories and Applications;Prof. Millie PantProf. Dr. Kanad RayProf. Dr. Tarun K. SharmaDr. Sanyog RawatDr. Anirban Bandyopadhyay;2005;978-981-10-5687-1.pdf
Thermal Analysis of Power Electronic Devices Used in Renewable Energy Systems;Alhussein AlbarbarCanras Batunlu;2007;978-3-319-59828-4.pdf
Advances on P2P, Parallel, Grid, Cloud and Internet Computing;Fatos XhafaProf. Santi CaballèŒ…Leonard Barolli;2008;978-3-319-69835-9.pdf
Complex, Intelligent, and Software Intensive Systems;Leonard BarolliOlivier Terzo;2007;978-3-319-61566-0.pdf
Micro and Nanomechanics, Volume 5;Dr. LaVern StarmanDr. Jenny Hay;2005;978-3-319-63405-0.pdf
Advanced Gear Engineering;Veniamin GoldfarbEvgenii TrubachevNatalya Barmina;2004;978-3-319-60399-5.pdf
Sustainable Cloud and Energy Services;Dr. Wilson Rivera;2000;978-3-319-62238-5.pdf
Modeling and Design of Flexible Pavements and Materials;Prof. Dr. Dallas N. LittleProf. Dr. David H. AllenProf. Dr. Amit Bhasin;2002;978-3-319-58443-0.pdf
Proceedings of SAI Intelligent Systems Conference (IntelliSys) 2016;Dr. Yaxin BiSupriya KapoorRahul Bhatia;2002;978-3-319-56991-8.pdf
AETA 2017 - Recent Advances in Electrical Engineering and Related Sciences: Theory and Application;Vo Hoang DuyTran Trong DaoIvan ZelinkaSang Bong KimTran Thanh Phuong;2001;978-3-319-69814-4.pdf
Symmetry in Complex Network Systems;Visarath InProf. Dr. Antonio Palacios;2000;978-3-662-55545-3.pdf
Signal Quality Assessment in Physiological Monitoring;Dr. Christina Orphanidou;2000;978-3-319-68415-4.pdf
Applications of Fluid Dynamics;Dr. M.K. SinghDr. B.S. KushvahDr. G.S. SethDr. J. Prakash;2008;978-981-10-5329-0.pdf
Disciplinary Convergence in Systems Engineering Research;Azad M. MadniBarry BoehmRoger G. GhanemDaniel ErwinMarilee J. Wheaton;2008;978-3-319-62217-0.pdf
Innovative Mobile and Internet Services in Ubiquitous Computing;Leonard BarolliTomoya Enokido;2001;978-3-319-61542-4.pdf
Biomaterials in Clinical Practice;Fatima ZivicDr. Saverio AffatatoProf. Dr. Miroslav TrajanovicDr. Matthias SchnabelrauchProf. Dr. Nenad GrujovicDr. Kwang Leong Choy;2003;978-3-319-68025-5.pdf
Robust Hand Gesture Recognition for Robotic Hand Control;Ankit Chaudhary;2002;978-981-10-4798-5.pdf
Recent Trends in Control and Sensor Systems in Emergency Management;Roman SzewczykDenis Havlik;2004;978-3-319-70452-4.pdf
Bounded Rationality in Decision Making Under Uncertainty: Towards Optimal Granularity;Joe LorkowskiVladik Kreinovich;2003;978-3-319-62214-9.pdf
Robotics Research;Antonio BicchiWolfram Burgard;2000;978-3-319-51532-8.pdf
